main,#ID,sub,special,special points,level,price,class,introduced
Enperry Splat Dualies,5011,Curling Bomb,Triple Splashdown,190p,10,1,Dualie,Version 6.0.0 (Chill Season 2023)
Explosher,3040,Point Sensor,Ink Storm,200p,29,1,Slosher,Version 1.0.0 (Drizzle Season 2022)
Flingza Roller,1030,Ink Mine,Tenta Missiles,210p,20,1,Roller,Version 1.0.0 (Drizzle Season 2022)
Foil Squeezer,401,Autobomb,Splattercolor Screen,190p,25,1,Shooter,Version 6.0.0 (Chill Season 2023)
Forge Splattershot Pro,71,Suction Bomb,Booyah Bomb,210p,20,1,Shooter,Version 2.0.0 (Chill Season 2022)
Glooga Dualies,5020,Splash Wall,Booyah Bomb,180p,21,1,Dualie,Version 1.0.0 (Drizzle Season 2022)
Gold Dynamo Roller,1021,Splat Bomb,Super Chump,190p,17,1,Roller,Version 5.0.0 (Drizzle Season 2023)
Goo Tuber,2060,Torpedo,Tenta Missiles,200p,25,1,Charger,Version 1.0.0 (Drizzle Season 2022)
H-3 Nozzlenose,310,Point Sensor,Tacticooler,190p,24,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
H-3 Nozzlenose D,311,Splash Wall,Big Bubbler,200p,27,1,Shooter,Version 4.0.0 (Sizzle Season 2023)
Heavy Edit Splatling,4050,Curling Bomb,Tacticooler,190p,13,1,Splatling,Version 5.0.0 (Drizzle Season 2023)
Heavy Splatling,4010,Sprinkler,Wave Breaker,200p,4,1,Splatling,Version 1.0.0 (Drizzle Season 2022)
Heavy Splatling Deco,4011,Point Sensor,Kraken Royale,200p,15,1,Splatling,Version 4.0.0 (Sizzle Season 2023)
Hero Shot Replica,45,Suction Bomb,Trizooka,190p,1,,Shooter,Version 1.0.0 (Drizzle Season 2022)
Hydra Splatling,4020,Autobomb,Booyah Bomb,190p,20,1,Splatling,Version 1.0.0 (Drizzle Season 2022)
Inkbrush,1100,Splat Bomb,Killer Wail 5.1,180p,7,1,Brush,Version 1.0.0 (Drizzle Season 2022)
Inkbrush Nouveau,1101,Ink Mine,Ultra Stamp,180p,15,1,Brush,Version 2.0.0 (Chill Season 2022)
Inkline Tri-Stringer,7011,Sprinkler,Super Chump,190p,11,1,Stringer,Version 5.0.0 (Drizzle Season 2023)
Jet Squelcher,90,Angle Shooter,Ink Vac,180p,15,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
Krak-On Splat Roller,1011,Squid Beakon,Kraken Royale,180p,7,1,Roller,Version 3.0.0 (Fresh Season 2023)
L-3 Nozzlenose,300,Curling Bomb,Crab Tank,190p,13,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
L-3 Nozzlenose D,301,Burst Bomb,Ultra Stamp,200p,19,1,Shooter,Version 3.0.0 (Fresh Season 2023)
Light Tetra Dualies,5041,Sprinkler,Zipcaster,190p,24,1,Dualie,Version 4.0.0 (Sizzle Season 2023)
Luna Blaster,200,Splat Bomb,Zipcaster,180p,13,1,Blaster,Version 1.0.0 (Drizzle Season 2022)
Luna Blaster Neo,201,Fizzy Bomb,Ultra Stamp,180p,24,1,Blaster,Version 2.0.0 (Chill Season 2022)
Mini Splatling,4000,Burst Bomb,Ultra Stamp,190p,12,1,Splatling,Version 1.0.0 (Drizzle Season 2022)
N-ZAP '85,60,Suction Bomb,Tacticooler,190p,6,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
N-ZAP '89,61,Autobomb,Super Chump,180p,11,1,Shooter,Version 3.0.0 (Fresh Season 2023)
Nautilus 47,4040,Point Sensor,Ink Storm,190p,28,1,Splatling,Version 1.0.0 (Drizzle Season 2022)
Neo Splash-o-matic,21,Suction Bomb,Triple Inkstrike,210p,21,1,Shooter,Version 3.0.0 (Fresh Season 2023)
Neo Splatana Stamper,8001,Toxic Mist,Crab Tank,210p,20,1,Splatana,Version 6.0.0 (Chill Season 2023)
Neo Sploosh-o-matic,1,Squid Beakon,Killer Wail 5.1,180p,13,1,Shooter,Version 3.0.0 (Fresh Season 2023)
Octobrush,1110,Suction Bomb,Zipcaster,200p,4,1,Brush,Version 1.0.0 (Drizzle Season 2022)
Octobrush Nouveau,1111,Squid Beakon,Ink Storm,180p,9,1,Brush,Version 5.0.0 (Drizzle Season 2023)
Painbrush,1120,Curling Bomb,Wave Breaker,200p,14,1,Brush,Version 4.0.0 (Sizzle Season 2023)
Painbrush Nouveau,1121,Point Sensor,Tenta Missiles,190p,16,1,Brush,Version 6.0.0 (Chill Season 2023)
Range Blaster,220,Suction Bomb,Wave Breaker,200p,11,1,Blaster,Version 1.0.0 (Drizzle Season 2022)
Rapid Blaster,240,Ink Mine,Triple Inkstrike,190p,7,1,Blaster,Version 1.0.0 (Drizzle Season 2022)
Rapid Blaster Deco,241,Torpedo,Inkjet,210p,10,1,Blaster,Version 3.0.0 (Fresh Season 2023)
Rapid Blaster Pro,250,Toxic Mist,Ink Vac,180p,26,1,Blaster,Version 1.0.0 (Drizzle Season 2022)
Rapid Blaster Pro Deco,251,Angle Shooter,Killer Wail 5.1,190p,29,1,Blaster,Version 4.0.0 (Sizzle Season 2023)
REEF-LUX 450,7020,Curling Bomb,Tenta Missiles,210p,10,1,Stringer,Version 1.0.0 (Drizzle Season 2022)
REEF-LUX 450 Deco,7021,Splash Wall,Reefslider,200p,12,1,Stringer,Version 6.0.0 (Chill Season 2023)
S-BLAST '91,261,Burst Bomb,Booyah Bomb,190p,27,1,Blaster,Version 6.0.0 (Chill Season 2023)
S-BLAST '92,260,Sprinkler,Reefslider,180p,20,1,Blaster,Version 4.0.0 (Sizzle Season 2023)
Slosher,3000,Splat Bomb,Triple Inkstrike,200p,3,1,Slosher,Version 1.0.0 (Drizzle Season 2022)
Slosher Deco,3001,Angle Shooter,Zipcaster,180p,12,1,Slosher,Version 2.0.0 (Chill Season 2022)
Sloshing Machine,3020,Fizzy Bomb,Booyah Bomb,220p,14,1,Slosher,Version 1.0.0 (Drizzle Season 2022)
Sloshing Machine Neo,3021,Point Sensor,Trizooka,190p,21,1,Slosher,Version 5.0.0 (Drizzle Season 2023)
Snipewriter 5B,2071,Splash Wall,Ink Storm,210p,19,1,Charger,Version 6.0.0 (Chill Season 2023)
Snipewriter 5H,2070,Sprinkler,Tacticooler,200p,14,1,Charger,Version 2.0.0 (Chill Season 2022)
Sorella Brella,6001,Autobomb,Inkjet,190p,19,1,Brella,Version 5.0.0 (Drizzle Season 2023)
Splash-o-matic,20,Burst Bomb,Crab Tank,200p,16,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
Splat Brella,6000,Sprinkler,Triple Inkstrike,200p,5,1,Brella,Version 1.0.0 (Drizzle Season 2022)
Splat Charger,2010,Splat Bomb,Ink Vac,200p,2,1,Charger,Version 1.0.0 (Drizzle Season 2022)
Splat Dualies,5010,Suction Bomb,Crab Tank,190p,3,1,Dualie,Version 1.0.0 (Drizzle Season 2022)
Splat Roller,1010,Curling Bomb,Big Bubbler,180p,2,1,Roller,Version 1.0.0 (Drizzle Season 2022)
Splatana Stamper,8000,Burst Bomb,Zipcaster,210p,15,1,Splatana,Version 1.0.0 (Drizzle Season 2022)
Splatana Wiper,8010,Torpedo,Ultra Stamp,190p,5,1,Splatana,Version 1.0.0 (Drizzle Season 2022)
Splatana Wiper Deco,8011,Squid Beakon,Tenta Missiles,190p,10,1,Splatana,Version 4.0.0 (Sizzle Season 2023)
Splatterscope,2020,Splat Bomb,Ink Vac,200p,10,1,Charger,Version 1.0.0 (Drizzle Season 2022)
Splattershot,40,Suction Bomb,Trizooka,190p,2,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
Splattershot Jr.,10,Splat Bomb,Big Bubbler,180p,1,,Shooter,Version 1.0.0 (Drizzle Season 2022)
Splattershot Nova,100,Point Sensor,Killer Wail 5.1,190p,8,1,Shooter,Version 2.0.0 (Chill Season 2022)
Splattershot Pro,70,Angle Shooter,Crab Tank,180p,9,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
Sploosh-o-matic,0,Curling Bomb,Ultra Stamp,180p,9,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
Squeezer,400,Splash Wall,Trizooka,210p,19,1,Shooter,Version 1.0.0 (Drizzle Season 2022)
Tenta Brella,6010,Squid Beakon,Ink Vac,190p,16,1,Brella,Version 1.0.0 (Drizzle Season 2022)
Tenta Sorella Brella,6011,Ink Mine,Trizooka,200p,22,1,Brella,Version 4.0.0 (Sizzle Season 2023)
Tentatek Splattershot,41,Splat Bomb,Triple Inkstrike,190p,10,1,Shooter,Version 2.0.0 (Chill Season 2022)
Tri-Slosher,3010,Toxic Mist,Inkjet,180p,10,1,Slosher,Version 1.0.0 (Drizzle Season 2022)
Tri-Slosher Nouveau,3011,Fizzy Bomb,Tacticooler,200p,17,1,Slosher,Version 3.0.0 (Fresh Season 2023)
Tri-Stringer,7010,Toxic Mist,Killer Wail 5.1,180p,4,1,Stringer,Version 1.0.0 (Drizzle Season 2022)
Undercover Brella,6020,Ink Mine,Reefslider,180p,18,1,Brella,Version 1.0.0 (Drizzle Season 2022)
Undercover Sorella Brella,6021,Torpedo,Splattercolor Screen,180p,23,1,Brella,Version 6.0.0 (Chill Season 2023)
Z+F Splat Charger,2011,Splash Wall,Triple Inkstrike,210p,9,1,Charger,Version 3.0.0 (Fresh Season 2023)
Z+F Splatterscope,2021,Splash Wall,Triple Inkstrike,210p,15,1,Charger,Version 3.0.0 (Fresh Season 2023)
Zink Mini Splatling,4001,Toxic Mist,Big Bubbler,200p,25,1,Splatling,Version 2.0.0 (Chill Season 2022)
